Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Scoot Henderson,20,POR,PG,49,9,26.4,4.2,9.8,0.432,1.5,4.1,0.366,2.7,5.7,0.48,0.509,2.4,3.1,0.784,0.7,2.2,2.9,5.2,1.1,0.2,2.6,2.7,12.4
Bilal Coulibaly,20,WAS,SF,52,52,33.4,4.4,10.6,0.416,1.1,3.9,0.274,3.3,6.7,0.497,0.466,2.4,3.2,0.758,1.5,3.5,5,3.6,1.3,0.7,2.1,2.4,12.3
Ayo Dosunmu,25,CHI,SG,45,26,30.5,4.8,9.8,0.491,1.4,4.2,0.332,3.4,5.6,0.609,0.561,1.4,1.7,0.792,0.6,2.9,3.5,4.6,0.9,0.4,1.5,2.3,12.3
Daniel Gafford,26,DAL,C,51,28,21.9,5,7.1,0.699,0,0,,5,7.1,0.699,0.699,2.4,3.4,0.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7,12.3
Onyeka Okongwu,24,ATL,C,50,16,25.7,4.8,8.5,0.57,0.4,1.6,0.263,4.4,6.9,0.641,0.595,2.1,2.9,0.733,2.8,5.2,8,2.2,0.8,0.9,1,2.4,12.2
Keldon Johnson,25,SAS,SF,52,0,23.3,4.5,9.5,0.472,1.1,3.5,0.317,3.4,6,0.562,0.53,1.9,2.5,0.762,1.3,3.1,4.4,1.5,0.6,0.2,0.9,1.5,12
Keegan Murray,24,SAC,PF,53,53,35,4.7,10.7,0.436,1.8,5.6,0.327,2.8,5.1,0.558,0.522,0.9,1.1,0.821,2.1,4.9,7,1.5,0.8,0.9,0.9,2.6,12
Daeqwon Plowden,26,ATL,SG,2,0,16.5,4,5,0.8,3,4,0.75,1,1,1,1.1,1,1,1,1.5,1,2.5,0,0,0,0.5,2.5,12
Terry Rozier,30,MIA,PG,49,21,27.9,4.4,10.9,0.404,1.6,5.1,0.306,2.8,5.8,0.493,0.477,1.6,1.9,0.859,0.8,3.3,4,2.8,0.6,0.3,1.3,1.3,12
Corey Kispert,25,WAS,SF,51,0,26.8,4.3,9.5,0.454,2,5.5,0.364,2.3,4,0.578,0.56,1.1,1.3,0.862,0.6,2.4,3,1.6,0.5,0.2,1.1,1.6,11.8
Ty Jerome,27,CLE,SG,53,2,19.2,4.3,8.2,0.521,1.5,3.5,0.437,2.8,4.7,0.582,0.613,1.6,1.9,0.879,0.8,1.7,2.5,3.4,1.2,0,1.2,1.5,11.7
Jaden McDaniels,24,MIN,PF,58,58,32.1,4.6,9.8,0.465,1.3,3.9,0.327,3.3,5.9,0.555,0.53,1.3,1.6,0.817,1.6,4.1,5.7,1.8,1.4,0.9,1.2,2.9,11.7
Alex Sarr,19,WAS,C,43,43,26.9,4.4,11.2,0.394,1.5,4.8,0.312,2.9,6.4,0.455,0.46,1.4,2.2,0.621,1.8,4.9,6.6,2.2,0.7,1.6,1.4,2.4,11.7
Jabari Smith Jr.,21,HOU,PF,35,34,31.1,4.1,9.4,0.43,1.7,4.8,0.361,2.3,4.6,0.503,0.523,1.9,2.2,0.857,1.7,4.8,6.5,1,0.3,0.9,1,2.4,11.7
Harrison Barnes,32,SAS,PF,55,55,27.8,4,8.1,0.491,1.6,3.9,0.41,2.4,4.2,0.568,0.591,2,2.5,0.799,1.4,2.7,4.1,1.8,0.4,0.2,0.6,0.9,11.6
Zaccharie Risacher,19,ATL,SF,50,48,23.9,4.3,10,0.429,1.4,4.2,0.333,2.9,5.8,0.498,0.499,1.6,2.2,0.725,1.3,2.3,3.6,1.3,0.8,0.5,1,1.9,11.6
Tari Eason,23,HOU,PF,37,5,24.2,4.5,9.3,0.484,1,2.9,0.346,3.5,6.4,0.547,0.538,1.5,2.1,0.75,2.2,4.1,6.2,1.2,1.9,0.9,0.9,2.5,11.5
Buddy Hield,32,GSW,SG,57,22,23.5,4.2,10.1,0.412,2.5,6.9,0.368,1.6,3.2,0.508,0.538,0.7,0.8,0.826,0.5,2.8,3.3,1.6,0.9,0.3,1.2,1.8,11.5
Jeremy Sochan,21,SAS,PF,36,19,26.1,4.6,8.5,0.541,0.5,1.6,0.339,4.1,7,0.586,0.572,1.6,2.3,0.699,2.4,4.6,7,2.6,0.9,0.5,1.6,2.4,11.4
Naji Marshall,27,DAL,SF,45,14,24.8,4.4,8.7,0.509,0.9,2.9,0.313,3.5,5.8,0.607,0.561,1.5,1.7,0.846,1,3,4,2.5,0.9,0.1,1.4,1.5,11.3
Jaylen Wells,21,MEM,SG,57,52,25.6,4,8.9,0.448,1.8,4.9,0.374,2.1,4,0.54,0.551,1.5,1.8,0.824,1.1,2.1,3.2,1.6,0.6,0.1,0.9,1.9,11.3
Walker Kessler,23,UTA,C,44,44,30.5,4.8,6.7,0.72,0,0.1,0.333,4.8,6.6,0.728,0.723,1.4,2.7,0.538,4.6,7.5,12.1,1.6,0.6,2.4,1.5,2.3,11.2
Isaiah Hartenstein,26,OKC,C,36,35,28.8,4.8,8.6,0.565,0,0.4,0,4.8,8.2,0.59,0.565,1.4,2.2,0.646,3.2,8.7,11.9,4,0.8,1.1,1.8,2.9,11.1
Jonas Valančiūnas,32,SAC,C,55,12,19.4,4.5,8.2,0.545,0.1,0.5,0.259,4.3,7.7,0.564,0.553,1.9,2.2,0.875,2.4,5.4,7.8,2.1,0.4,0.6,1.7,2.1,11
Donte DiVincenzo,28,MIN,SG,40,8,26.4,3.7,9.3,0.397,2.6,7,0.369,1.1,2.4,0.479,0.535,1,1.3,0.82,0.6,3.1,3.7,3.6,1.2,0.2,1.8,1.6,11
Jalen Duren,21,DET,C,54,54,25.7,4.6,6.6,0.7,0,0,,4.6,6.6,0.7,0.7,1.8,2.6,0.686,3.6,6.6,10.2,2.6,0.7,1.1,1.8,3.1,11
Rudy Gobert,32,MIN,C,55,55,33.3,4.3,6.5,0.653,0,0,,4.3,6.5,0.653,0.653,2.4,3.6,0.68,3.5,6.9,10.4,1.8,0.7,1.5,1.4,2.4,11
Jrue Holiday,34,BOS,PG,46,46,30,4,9.1,0.444,1.8,5,0.349,2.3,4,0.562,0.541,1.2,1.3,0.9,1.1,3.2,4.3,3.6,1,0.4,1.3,1.6,11
Aaron Wiggins,26,OKC,SG,56,19,22,4.3,8.6,0.499,1.6,4,0.394,2.7,4.5,0.593,0.592,0.9,1,0.857,1.1,2.6,3.6,1.6,0.8,0.3,0.9,1.3,11
Quentin Grimes,24,PHI,SG,53,15,24,3.8,8.3,0.465,1.8,4.5,0.389,2.1,3.8,0.555,0.571,1.4,1.8,0.763,0.8,3.4,4.1,2.3,0.7,0.2,1.3,1.7,10.8
Grayson Allen,29,PHX,SG,46,3,25.1,3.5,7.8,0.446,2.5,5.7,0.428,1,2.1,0.495,0.603,1.4,1.7,0.831,0.6,2.7,3.3,2.1,0.9,0.3,1.1,1.5,10.8
GuersCHAn Yabusele,29,PHI,C,53,27,26.5,4,7.8,0.511,1.5,3.8,0.398,2.5,4,0.618,0.608,1.3,1.8,0.747,1.9,3.7,5.6,1.9,0.8,0.4,1.3,2.5,10.8
Brandon Boston Jr.,23,NOP,SG,42,10,23.6,4,9.1,0.436,1.2,3.3,0.35,2.8,5.7,0.485,0.5,1.6,2,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7
Nikola Jović,21,MIA,PF,46,10,25.1,3.7,8.2,0.456,1.7,4.6,0.371,2,3.6,0.563,0.56,1.6,1.9,0.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7
Caris LeVert,30,ATL,SG,43,3,24.1,3.7,8.2,0.456,1.6,4,0.394,2.2,4.2,0.514,0.551,1.6,2.3,0.687,0.6,2.5,3.1,3.5,0.8,0.5,1.2,1.5,10.6
Tim Hardaway Jr.,32,DET,SG,53,53,28.3,3.5,8.5,0.41,2.2,5.7,0.382,1.3,2.7,0.469,0.539,1.5,1.8,0.825,0.2,2.1,2.3,1.6,0.5,0.1,0.7,1.3,10.6
Tyus Jones,28,PHX,PG,56,54,29.1,3.9,8.9,0.443,2,5,0.396,2,3.9,0.502,0.553,0.8,0.9,0.878,0.6,1.9,2.5,5.9,0.9,0.1,1.4,1,10.6
Duncan Robinson,30,MIA,SF,52,30,24.1,3.8,8.9,0.422,2.4,6.4,0.377,1.3,2.5,0.539,0.558,0.7,0.8,0.9,0.3,2.1,2.3,2.6,0.5,0.1,1.1,2,10.6
Toumani Camara,24,POR,PF,55,55,32.3,3.9,8.5,0.458,1.5,4.1,0.372,2.4,4.4,0.539,0.548,1.1,1.5,0.759,2.3,3.7,6,2.1,1.5,0.7,1.5,3,10.5
Jordan Hawkins,22,NOP,SG,39,5,22.9,3.5,9.7,0.361,1.9,5.6,0.333,1.6,4.1,0.398,0.457,1.6,1.8,0.847,0.4,2.1,2.5,1.1,0.6,0.4,0.8,0.7,10.5
Andrew Nembhard,25,IND,SG,39,39,28.4,3.9,8.4,0.466,0.7,2.4,0.312,3.2,6,0.528,0.511,1.9,2.5,0.792,0.5,2.8,3.3,4.8,1.3,0.1,1.7,2.4,10.5
Amir Coffey,27,LAC,SG,54,13,25.9,3.6,7.5,0.474,1.6,3.7,0.422,2,3.9,0.524,0.577,1.7,1.9,0.904,0.5,1.9,2.4,1.1,0.5,0.1,0.7,1.8,10.4
Obi Toppin,26,IND,PF,52,0,19.5,4,7.4,0.539,1.3,3.6,0.351,2.7,3.8,0.714,0.624,1.2,1.5,0.789,0.8,3.4,4.2,1.6,0.6,0.3,0.8,1.4,10.4
Gary Trent Jr.,26,MIL,SG,51,7,25.1,3.6,8.3,0.435,2.3,5.4,0.42,1.4,2.9,0.463,0.572,0.8,1,0.84,0.2,2.2,2.4,1.2,1,0.1,0.6,1.9,10.4
Grant Williams,26,CHA,PF,16,7,29.9,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4,5.1,2.3,1.1,0.8,1.8,2.9,10.4
Chris Boucher,32,TOR,PF,48,0,17.3,3.7,7.5,0.493,1.5,3.9,0.37,2.3,3.6,0.628,0.59,1.4,1.8,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.3
Herbert Jones,26,NOP,SF,20,20,32.4,3.8,8.6,0.436,1.1,3.6,0.306,2.7,5,0.53,0.5,1.7,2,0.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3
De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9,0.407,2.2,5.8,0.371,1.5,3.2,0.474,0.528,0.8,1.3,0.625,1,2.3,3.3,2.8,1.2,0.3,1.7,3,10.3
Ochai Agbaji,24,TOR,SG,51,37,27.5,4.1,8,0.505,1.5,3.8,0.39,2.6,4.2,0.609,0.598,0.5,0.8,0.667,0.9,2.8,3.7,1.6,0.8,0.5,0.8,1.9,10.2
Nic Claxton,25,BKN,C,49,41,26.8,4.5,8.2,0.545,0,0.3,0.071,4.4,7.9,0.562,0.546,1.2,2.3,0.522,2.2,5.3,7.6,2,0.9,1.5,1.3,2,10.2
Spencer Dinwiddie,31,DAL,PG,56,19,25.1,3.3,7.8,0.415,1.4,3.9,0.344,1.9,3.9,0.486,0.501,2.3,2.8,0.838,0.2,2.2,2.4,3.7,0.8,0.2,1.2,1.5,10.2
Derrick Jones Jr.,27,LAC,SF,54,49,24.9,4.1,8,0.514,1,2.8,0.353,3.1,5.2,0.599,0.575,1,1.3,0.75,1.3,2.2,3.5,0.8,1.1,0.4,0.9,2.1,10.2
Dante Exum,29,DAL,PG,9,7,19.9,3.8,7.3,0.515,1.1,2.6,0.435,2.7,4.8,0.558,0.591,1.4,2.3,0.619,0.2,1.3,1.6,3.9,0.7,0.2,1.1,1.4,10.1
Brandin Podziemski,21,GSW,SG,44,13,25.5,3.8,8.8,0.432,1.4,4.2,0.323,2.5,4.6,0.532,0.509,1.1,1.5,0.742,1,3.8,4.8,3.5,1.1,0.2,1.1,1.5,10.1
Jose Alvarado,26,NOP,PG,33,11,23.6,3.4,8.3,0.414,2.2,5.4,0.397,1.3,2.8,0.447,0.544,1,1.2,0.825,0.5,1.9,2.4,4.5,1.4,0.3,1.2,1.9,10
Bogdan Bogdanović,32,LAC,SG,28,0,24.6,3.5,9.3,0.375,1.8,6,0.302,1.7,3.3,0.511,0.473,1.2,1.4,0.846,0.5,2.1,2.6,2.1,1,0.2,1.4,2.3,10
Julian Champagnie,23,SAS,SF,55,26,24.2,3.4,8.2,0.42,2.2,6,0.369,1.2,2.2,0.563,0.556,0.9,1,0.895,0.8,3.1,3.9,1.3,0.8,0.4,0.9,1.4,10
Keon Johnson,22,BKN,SG,54,34,23.5,3.7,9.8,0.375,1.4,5,0.287,2.3,4.9,0.466,0.448,1.2,1.5,0.783,0.8,2.8,3.6,1.9,1,0.4,1.2,2.5,10
Luguentz Dort,25,OKC,SF,52,52,29,3.5,8.1,0.431,2.2,5.5,0.401,1.3,2.6,0.493,0.567,0.6,0.8,0.825,1.4,2.8,4.1,1.6,1.1,0.6,0.7,3.1,9.8
T.J. McConnell,32,IND,PG,54,0,18.4,4.4,8.4,0.525,0.2,0.6,0.294,4.2,7.8,0.544,0.536,0.8,1.1,0.75,0.5,2,2.5,4.5,1.1,0.3,1.5,1.1,9.8
Svi Mykhailiuk,27,UTA,SF,22,12,20,3.5,8.6,0.402,2.1,6.1,0.343,1.4,2.5,0.545,0.524,0.8,1,0.783,0.5,2,2.5,1.7,0.7,0.3,1.6,1.3,9.8
Royce O'Neale,31,PHX,SF,51,18,26,3.5,8.1,0.426,2.4,6,0.403,1,2.1,0.491,0.575,0.4,0.5,0.75,0.8,4.2,5,2.1,1,0.5,1,2.2,9.7
Isaiah Joe,25,OKC,SG,51,11,21,3.4,7.7,0.433,2.4,6.1,0.398,0.9,1.7,0.558,0.589,0.5,0.6,0.719,0.5,2,2.5,1.4,0.7,0.1,0.5,1.6,9.6
Julian Strawther,22,DEN,SG,57,4,22.4,3.4,7.9,0.434,1.6,4.4,0.365,1.8,3.5,0.523,0.537,1.1,1.4,0.831,0.3,2,2.3,1.4,0.6,0.3,0.9,2.5,9.6
Max Christie,21,DAL,SG,54,27,26.2,3.1,6.9,0.457,1.4,3.7,0.381,1.7,3.1,0.547,0.56,1.8,2.1,0.848,0.6,2.4,3,1.7,0.8,0.5,1,1.6,9.5
Tosan Evbuomwan,23,BKN,SF,20,0,24.3,3.5,7.8,0.442,0.8,2.6,0.294,2.7,5.3,0.514,0.49,1.8,2.5,0.735,1.2,2.9,4.1,1.7,0.8,0.4,1.6,1.9,9.5
Moses Moody,22,GSW,SG,49,9,19.8,3.3,7.4,0.444,1.7,4.5,0.382,1.6,3,0.538,0.559,1.2,1.7,0.728,0.6,1.7,2.3,1.2,0.6,0.4,0.7,1.5,9.5
Trendon Watford,24,BKN,PF,21,0,17.8,3.4,7.3,0.471,0.6,1.9,0.325,2.8,5.4,0.522,0.513,2,2.4,0.824,0.4,2.5,2.9,1.8,0.5,0.3,1.3,2.2,9.5
Georges Niang,31,ATL,PF,56,2,21.4,3.5,7.3,0.477,1.9,4.7,0.411,1.5,2.6,0.597,0.609,0.5,0.6,0.806,0.7,3.1,3.8,1.4,0.4,0.2,0.9,2.6,9.4
Kevin Porter Jr.,24,MIL,SG,50,2,19.4,3.8,8.8,0.433,0.5,2.2,0.248,3.3,6.6,0.494,0.464,1.2,1.8,0.67,0.6,2.9,3.5,3.2,1,0.2,1.8,1.6,9.4
Cole Anthony,24,ORL,PG,54,16,18,3.5,8.3,0.424,1.1,3.2,0.333,2.4,5.1,0.48,0.488,1.4,1.7,0.793,0.7,2.3,3,2.8,0.7,0.4,1.6,2.3,9.4
Noah Clowney,20,BKN,PF,37,18,23.1,3,8.1,0.375,2,5.6,0.354,1,2.4,0.422,0.498,1.4,1.6,0.85,0.9,3,3.9,0.8,0.5,0.5,1,2.4,9.4
Luke Kennard,28,MEM,SG,44,7,22.1,3.2,6.7,0.475,2.1,4.4,0.474,1.1,2.3,0.476,0.629,1,1.1,0.896,0.6,2.3,2.9,3.3,0.7,0.1,1,0.9,9.4
Ausar Thompson,22,DET,SF,35,24,20.9,3.9,7.2,0.55,0.2,0.9,0.219,3.7,6.3,0.598,0.564,1.3,2.3,0.588,1.7,3.3,5,2.2,1.7,0.4,1.4,2.8,9.4
Cam Whitmore,20,HOU,SF,37,0,17.3,3.5,8.5,0.413,1.2,4,0.311,2.3,4.5,0.503,0.486,1.1,1.5,0.719,0.7,2.5,3.2,0.9,0.7,0.2,1,1.1,9.4
Ziaire Williams,23,BKN,SF,42,25,23.9,3.1,7.9,0.398,1.3,4.1,0.318,1.8,3.8,0.484,0.48,1.8,2.2,0.826,1.1,3.8,4.9,1.5,1,0.4,1,2.5,9.4
Anthony Black,21,ORL,PG,55,9,24.6,3.3,7.7,0.423,0.7,2.4,0.3,2.6,5.4,0.476,0.468,2.1,2.8,0.752,0.6,2.1,2.7,3.3,1,0.5,1.8,2.2,9.3
Clint Capela,30,ATL,C,47,41,22.3,4.1,7.2,0.569,0,0,,4.1,7.2,0.569,0.569,1,1.9,0.538,3.2,5.6,8.9,1.2,0.6,1,0.9,2,9.3
GG Jackson II,20,MEM,PF,15,0,16.7,3.3,7.8,0.419,1.3,3.9,0.339,1.9,3.9,0.5,0.504,1.4,2,0.7,1.1,2.2,3.3,0.9,0.4,0.2,1.2,1.1,9.3
Jalen Wilson,24,BKN,PF,55,15,27.2,3.2,8,0.396,1.4,4.4,0.316,1.8,3.5,0.497,0.484,1.5,1.9,0.824,1.1,2.4,3.5,1.9,0.5,0.1,1.1,2.1,9.3
Jaime Jaquez Jr.,23,MIA,SF,46,11,23.1,3.3,7.6,0.437,0.6,2,0.293,2.7,5.6,0.488,0.476,2,2.6,0.767,1.3,3.5,4.7,2.7,1.1,0.2,1.5,1.5,9.2
Nickeil Alexander-Walker,26,MIN,SG,58,9,24.9,3.3,7.3,0.444,1.8,4.5,0.404,1.4,2.9,0.506,0.567,0.8,1,0.763,0.6,2.5,3.1,2.5,0.6,0.3,1.2,1.8,9.1
Carlton Carrington,19,WAS,PG,56,39,29.4,3.4,8.2,0.411,1.6,4.6,0.347,1.8,3.6,0.493,0.509,0.8,0.9,0.843,0.4,3.6,4,3.9,0.7,0.2,1.5,2.3,9.1
Zach Edey,22,MEM,C,43,36,20.5,3.7,6.5,0.573,0.3,1,0.349,3.4,5.5,0.613,0.6,1.3,1.9,0.675,3.3,4.4,7.7,0.9,0.6,1.2,1.4,2.6,9.1
Dereck Lively II,20,DAL,C,32,25,24,3.9,5.5,0.701,0,0,,3.9,5.5,0.701,0.701,1.4,2.2,0.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1
Caleb Martin,29,PHI,SF,31,24,30.4,3.3,7.5,0.435,1.1,2.8,0.379,2.2,4.7,0.469,0.506,1.5,2.4,0.622,1.4,3,4.4,2.2,1.1,0.6,1.4,2,9.1
Miles McBride,24,NYK,PG,47,1,23.7,3.3,7.9,0.415,1.7,4.6,0.37,1.6,3.3,0.477,0.523,0.9,1,0.857,0.7,1.7,2.4,2.6,0.9,0.2,0.7,1.4,9.1
Scotty Pippen Jr.,24,MEM,PG,57,16,20,3.4,7.1,0.47,0.9,2.6,0.36,2.4,4.5,0.535,0.537,1.4,2.1,0.683,0.8,2.5,3.2,4.3,1.2,0.4,1.8,2.5,9.1
Patrick Williams,23,CHI,PF,45,35,26.2,3.2,8.6,0.375,1.6,4.5,0.351,1.6,4.1,0.4,0.466,1.1,1.4,0.769,0.8,3.3,4,2,0.8,0.6,1.3,1.3,9.1
Dalton Knecht,23,LAL,SF,52,12,20.1,3.3,7.1,0.457,1.6,4.4,0.354,1.7,2.7,0.624,0.566,1,1.2,0.82,0.5,2.5,3,0.8,0.4,0.1,0.5,1.3,9
Chris Paul,39,SAS,PG,55,55,28.9,3,7.4,0.405,1.7,4.8,0.353,1.3,2.6,0.504,0.521,1.3,1.4,0.948,0.5,3.5,3.9,8,1.3,0.2,1.5,1.9,9
Nick Richards,27,PHX,C,38,25,21.8,3.2,5.6,0.568,0,0.1,0,3.2,5.6,0.573,0.568,2.5,3.5,0.722,2.5,5.9,8.5,0.9,0.3,1.1,1.5,2.4,8.9
Brice Sensabaugh,21,UTA,SF,45,2,17.4,3.2,7.3,0.441,1.6,4.4,0.369,1.6,2.9,0.55,0.552,0.9,1,0.907,0.6,1.9,2.5,1.3,0.6,0.1,1.3,1.4,8.9
Wendell Carter Jr.,25,ORL,C,46,29,25.3,3.2,7,0.463,0.4,2.2,0.202,2.8,4.8,0.579,0.494,2,2.8,0.711,2,5.4,7.4,2.2,0.8,0.5,1.1,2.8,8.8
Dorian Finney-Smith,31,LAL,PF,40,26,27.4,3.1,6.7,0.463,2,4.7,0.417,1.2,2,0.568,0.608,0.5,0.8,0.677,1.3,2.7,3.9,1.4,0.9,0.4,0.9,2.3,8.7
Dalano Banton,25,POR,PG,44,0,15.7,3,7.4,0.412,1.2,3.3,0.361,1.9,4.1,0.453,0.492,1.4,2,0.698,0.3,1.5,1.8,2.2,0.7,0.5,1.3,0.8,8.6
Kentavious Caldwell-Pope,31,ORL,SG,56,56,30.2,3,7.3,0.409,1.4,4.6,0.305,1.6,2.8,0.581,0.504,1.2,1.4,0.868,0.4,1.7,2.1,1.8,1.4,0.5,0.8,1.9,8.6
Kel'el Ware,20,MIA,C,40,14,19.6,3.6,6.8,0.531,0.6,1.9,0.338,3,4.9,0.604,0.577,0.8,1,0.732,1.5,4.5,6,0.9,0.6,1,0.8,1.4,8.6
Marcus Smart,30,WAS,PG,20,6,20.9,2.8,7.6,0.364,1.5,4.6,0.33,1.3,3,0.417,0.464,1.5,1.8,0.833,0.7,1.5,2.2,3.6,1.3,0.3,1.8,1.6,8.5
Goga Bitadze,25,ORL,C,48,41,23.3,3.6,5.8,0.625,0,0.4,0.1,3.6,5.4,0.665,0.628,1.3,2,0.638,2.7,5.2,7.9,2.1,0.8,1.7,1.3,2.2,8.5
Draymond Green,34,GSW,PF,43,41,28.4,3,7,0.429,1.1,3.4,0.333,1.9,3.6,0.519,0.51,1.3,2.1,0.637,1,4.8,5.8,5.7,1.3,1.1,2.4,3,8.5
Larry Nance Jr.,32,ATL,PF,24,3,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,3.3,0.582,0.626,0.4,0.5,0.692,1,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5
Aaron Nesmith,25,IND,SF,20,12,21,2.9,6,0.483,1.1,2.9,0.386,1.8,3.2,0.571,0.575,1.6,1.7,0.912,0.7,2.8,3.5,1.4,0.6,0.3,0.7,2.7,8.5
Max Strus,28,CLE,SF,28,15,24.9,3,7.3,0.412,2.1,5.9,0.366,0.9,1.4,0.6,0.559,0.4,0.5,0.846,0.9,3.5,4.3,3.2,0.6,0.4,1,2.1,8.5
Jusuf Nurkić,30,CHA,C,29,25,22.8,3,6.6,0.45,0.7,2.4,0.286,2.3,4.2,0.545,0.503,1.8,2.6,0.693,1.9,7.2,9.1,2.3,0.9,0.7,2.2,3,8.4
Yves Missi,20,NOP,C,54,48,26.9,3.4,6.4,0.533,0,0,0,3.4,6.4,0.535,0.533,1.6,2.5,0.64,3.5,4.7,8.2,1.4,0.5,1.5,1.2,2.2,8.4
Jaylen Nowell,25,NOP,SG,8,0,21,3.3,9.1,0.356,1,3.4,0.296,2.3,5.8,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1,1.1,8.4
Jalen Smith,24,CHI,C,51,1,15,3,6.3,0.475,1.2,3.5,0.352,1.7,2.8,0.631,0.573,1.2,1.4,0.836,1.4,4,5.4,0.9,0.2,0.7,0.6,1.5,8.4
Nick Smith Jr.,20,CHA,SG,36,17,19.8,3.3,8.2,0.397,1.4,4.4,0.331,1.8,3.8,0.471,0.485,0.4,0.5,0.889,0.2,1.7,1.9,1.9,0.4,0.1,1.2,1.1,8.4
Mike Conley,37,MIN,PG,49,43,25.2,2.6,6.9,0.371,1.8,4.6,0.389,0.8,2.3,0.333,0.501,1.3,1.4,0.913,0.5,2.2,2.7,4.6,1.2,0.2,1.1,1.5,8.2
Justin Edwards,21,PHI,SF,25,9,23.8,3.1,6.7,0.464,1.4,4,0.364,1.7,2.8,0.609,0.571,0.5,0.8,0.632,1,2.2,3.2,1.4,0.8,0.3,0.8,2.2,8.2
Day'Ron Sharpe,23,BKN,C,34,0,17.3,3.4,6.6,0.52,0.2,0.9,0.219,3.2,5.6,0.571,0.536,1.2,1.6,0.774,3,3.4,6.4,1.6,0.8,0.7,1.4,2.2,8.2
Tristan Da Silva,23,ORL,SF,55,35,24.3,3,7.1,0.426,1.2,3.5,0.338,1.8,3.5,0.513,0.51,0.8,1,0.852,1.1,2.5,3.7,1.7,0.5,0.2,0.9,1.4,8.1
Keon Ellis,25,SAC,SG,54,11,22.4,2.7,5.6,0.479,1.7,3.9,0.439,1,1.7,0.57,0.631,0.9,1.1,0.847,0.8,1.8,2.6,1.3,1.4,0.8,0.9,1.8,8.1
Peyton Watson,22,DEN,SF,48,12,24.1,2.9,6.2,0.471,0.7,2,0.34,2.3,4.2,0.532,0.525,1.6,2.1,0.752,0.8,2.6,3.4,1.5,0.9,1.2,0.9,1.7,8.1
Markelle Fultz,26,SAC,PG,1,0,10,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,0,0,0,1,0,0,3,0,8
Kyshawn George,21,WAS,SG,50,20,26.3,2.7,7.7,0.355,1.6,5.2,0.313,1.1,2.5,0.444,0.461,1,1.3,0.738,0.8,3.2,4,2.2,0.9,0.6,1.3,3,8
Jaden Hardy,22,DAL,SG,43,3,15.3,2.9,6.9,0.424,1.2,3.2,0.374,1.7,3.6,0.468,0.512,1,1.4,0.672,0.2,1.4,1.6,1.3,0.5,0.1,1.5,1.6,8
Brandon Clarke,28,MEM,PF,53,18,18.8,3.5,5.8,0.609,0,0.3,0.059,3.5,5.5,0.641,0.611,0.8,1.2,0.672,1.9,3.1,5,1,0.8,0.5,0.6,2.3,7.9
Al Horford,38,BOS,C,45,29,26.4,2.9,7,0.41,1.8,5,0.359,1.1,2.1,0.532,0.536,0.4,0.4,0.889,1.1,4.3,5.4,1.8,0.5,0.9,0.7,1.5,7.9
Taurean Prince,30,MIL,SF,55,48,26,2.8,6.2,0.457,1.9,4,0.459,1,2.1,0.453,0.608,0.5,0.5,0.833,0.5,3.2,3.7,1.9,0.8,0.1,1,2.1,7.9
Kevin Huerter,26,CHI,SG,48,15,21,2.9,7.4,0.397,1.5,4.9,0.3,1.5,2.5,0.583,0.496,0.5,0.7,0.688,0.5,2.3,2.8,1.8,0.9,0.3,0.9,1.7,7.8
Cody Martin,29,CHA,SF,39,8,24.8,3,6.9,0.433,1,3.2,0.323,1.9,3.7,0.528,0.507,0.9,1.3,0.694,1,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8
Justin Champagnie,23,WAS,SF,37,15,18.5,2.9,5.8,0.505,1.1,2.8,0.379,1.9,3.1,0.619,0.595,0.7,1.1,0.692,1.5,2.9,4.4,0.8,0.9,0.6,0.8,1.8,7.7
A.J. Green,25,MIL,SG,49,6,22.6,2.6,6.1,0.425,2.2,5.2,0.417,0.4,0.9,0.467,0.602,0.3,0.4,0.889,0.2,2,2.3,1.3,0.5,0.1,0.5,2.2,7.7
Josh Green,24,CHA,SG,50,49,28.6,2.8,6.3,0.439,1.5,3.6,0.403,1.3,2.7,0.489,0.556,0.7,1,0.706,0.9,1.8,2.8,1.5,1.1,0.2,1,2.6,7.7
