player,team,age,lt_5_ft_fgm,lt_5_ft_fga,lt_5_ft_fgpct,5_9_ft_fgm,5_9_ft_fga,5_9_ft_fgpct,10_14_ft_fgm,10_14_ft_fga,10_14_ft_fgpct,15_19_ft_fgm,15_19_ft_fga,15_19_ft_fgpct,20_24_ft_fgm,20_24_ft_fga,20_24_ft_fgpct,25_29_ft_fgm,25_29_ft_fga,25_29_ft_fgpct
Jordan Walsh,BOS,20,0.3,0.5,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,10.5,0.2,0.5,47.4
Jose Alvarado,NOP,26,0.6,1.2,51.3,0.3,0.9,26.7,0.3,0.4,69.2,0.1,0.3,33.3,0.7,1.7,41.8,1.4,3.7,39.0
Josh Christopher,MIA,23,0.1,0.4,33.3,0.1,0.3,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Josh Giddey,CHI,22,2.1,3.7,57.3,0.8,1.9,43.3,0.3,0.7,44.1,0.1,0.1,50.0,0.7,1.7,37.8,0.8,2.3,33.1
Josh Green,CHA,24,0.9,1.6,55.3,0.3,0.6,46.4,0.0,0.3,12.5,0.2,0.2,66.7,1.1,2.4,43.7,0.4,1.1,35.7
Josh Hart,NYK,29,3.8,5.3,72.5,0.2,0.6,35.3,0.3,0.5,50.0,0.2,0.3,52.9,0.4,1.5,28.0,0.7,1.8,39.2
Josh Minott,MIN,22,0.7,1.1,62.2,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,23.8,0.1,0.3,22.2
Josh Okogie,CHA,26,1.3,2.3,58.1,0.3,0.8,39.1,0.0,0.0,100,0.0,0.1,33.3,0.6,1.5,38.6,0.3,0.7,36.4
Josh Richardson,MIA,31,0.3,0.8,33.3,0.3,0.6,40.0,0.0,0.1,0.0,0.1,0.4,33.3,0.1,1.1,11.1,0.6,1.6,38.5
Jrue Holiday,BOS,34,1.5,2.5,61.6,0.4,0.8,48.6,0.2,0.4,35.0,0.1,0.2,50.0,0.6,2.1,30.2,1.1,2.9,38.6
Julian Champagnie,SAS,23,1.0,1.6,64.4,0.1,0.4,25.0,0.1,0.1,75.0,0.1,0.1,50.0,1.0,2.6,36.6,1.2,3.3,35.8
Julian Phillips,CHI,21,0.8,1.2,64.2,0.1,0.3,35.7,0.0,0.0,50.0,0.0,0.0,0.0,0.5,1.3,37.1,0.1,0.5,24.1
Julian Strawther,DEN,22,1.0,1.6,59.8,0.5,1.0,46.6,0.3,0.7,47.4,0.0,0.1,25.0,0.5,1.4,39.0,1.1,3.1,35.6
Julius Randle,MIN,30,3.3,5.1,64.6,0.9,2.2,41.5,0.6,1.5,37.0,0.3,0.5,56.0,0.6,2.2,28.6,0.9,2.4,35.9
Justin Champagnie,WAS,23,1.6,2.3,69.5,0.3,0.7,43.5,0.1,0.2,60.0,0.0,0.0,0.0,0.3,1.1,28.6,0.8,1.6,46.6
Justin Edwards,PHI,21,1.2,1.7,67.4,0.2,0.5,50.0,0.1,0.3,28.6,0.2,0.3,71.4,0.5,1.2,38.7,1.0,2.7,35.3
Justin Minaya,POR,25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jusuf Nurkić,CHA,30,1.8,2.9,60.5,0.4,1.0,39.3,0.1,0.2,33.3,0.0,0.0,0.0,0.3,0.6,41.2,0.4,1.7,22.9
KJ Martin,UTA,24,1.8,2.8,66.7,0.3,0.4,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,44.4,0.0,0.2,16.7
